Company,PN,Whse,Nomenclature,Cost,Retail,Type,Weight,Units,AltPN,Code,Vendor,Date Updated,Vendor PartID,Cost Change percentage,Status
01,5B35220C5P,01,VK3522 K8.0 1/2 QR Pend CH 175,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874FD,,
01,5B35220C6P,01,VK3522 K8.0 1/2 QR Pend CH 200,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874FE,,
01,5B35220C8P,01,VK3522 K8.0 1/2 QR Pend CH 286,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874FG,,
01,5B3522053P,01,VK3522 K8.0 1/2 QR Pend WH 155,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874MB/W,,
01,5B3522055P,01,VK3522 K8.0 1/2 QR Pend WH 175,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874MD/W,,
01,5B3522056P,01,VK3522 K8.0 1/2 QR Pend WH 200,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874ME/W,,
01,5B3522058P,01,VK3522 K8.0 1/2 QR Pend WH 286,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874MG/W,,
01,11F5C0C080,01,12 X 8 FLG REDUCER CON,738,0.00,14,162,EA ,A,,ETNA,8/06/2025,63069,,
01,11F5C0C0A0,01,12 X 10 FLG REDUCER CON,834,0.00,14,162,EA ,A,,ETNA,5/13/2025,12383,,
01,11F5E06040,01,6 X 4 FLG REDUCER ECC,250,0.00,14,0,EA ,A,,ETNA,8/06/2025,44885,,
01,11F5E06050,01,6 X 5 FLG REDUCER ECC,1086.34,0.00,14,0,EA ,A,,ETNA,30/11/2025,859663,,
01,11F5E08050,01,8 X 5 FLG REDUCER ECC,1215.32,0.00,14,0,EA ,A,,ETNA,30/11/2025,629499,,
01,11F5E08060,01,8 X 6 FLG REDUCER ECC,412,0.00,14,0,EA ,A,,ETNA,5/13/2025,48577,,
01,14F5FA3020,01,"2"" GxF nipple adapter",19.57,0.00,14,0,EA,A,,ARGCO,9/10/2025,7010630A,,
01,14F5FA3024,01,"2 1/2"" GxF nipple adapter",27.82,0.00,14,0,EA,A,,ARGCO,9/10/2025,7010630,,
01,11F6000030,01,3 X 7-1/2 BLIND FLANGE,18.40,0.00,14,8.68,EA ,A,,ETNA,8/06/2025,76801,,
01,11F6000040,01,4 X 9 BLIND FLANGE,26.00,0.00,14,15,EA ,A,,ETNA,8/06/2025,76817,,
01,11F6000060,01,6 X 11 BLIND FLANGE,39.5,0.00,14,24.6,EA ,A,,ETNA,8/06/2025,76915,,
01,11F6000080,01,8 X 13-1/2 BLIND FLANGE,64,0.00,14,40.5,EA ,A,,ETNA,8/06/2025,76977,,
01,11F60000A0,01,10 X 16 BLIND FLANGE,123,0.00,14,59.8,EA ,A,,ETNA,8/06/2025,14810,,
01,11F60000C0,01,12 X 19 BLIND FLANGE,185,0.00,14,81.6,EA ,A,,ETNA,8/06/2025,14839,,
